Player,Minutes,Starting Price, Final Teams Selected By %,Interceptions,Tackles Won,Ball Recovery Points,Total Points
Aaron Lennon,1541,5,0.1,15,18,6,66
Abdoulaye Doucouré,2536,5.5,1.2,41,45,19,109
Adam Forshaw,1526,4.5,0.1,30,28,13,51
Adam Lallana,1559,5.5,0.1,27,22,10,54
Adama Traoré,1069,6,1,4,9,0,44
Ademola Lookman,1446,6,0.3,20,25,6,82
Albert Sambi Lokonga,1129,5,0.1,23,13,8,40
Alex Iwobi,2029,6,0.3,40,28,14,92
Alex Oxlade-Chamberlain,777,6,0.2,8,14,2,44
Alexis Mac Allister,2112,5.5,0.5,23,51,17,110
Allan,2181,4.5,2.9,42,61,22,80
Andre Gomes,614,5,0.1,11,9,2,20
Andros Townsend,1452,5.5,2.1,21,15,7,73
Anthony Elanga,1208,5,0.8,19,17,6,65
Anthony Gordon,2277,4.5,5.7,36,36,16,116
Ashley Westwood,2286,5.5,0.2,43,23,14,77
Bernardo Silva,2856,7,14,32,33,10,165
Billy Gilmour,1852,4.5,3,33,22,10,59
Boubakary Soumaré,1095,5,0.1,17,13,3,39
Bruno Fernandes,3110,12,13.5,38,45,16,167
Bruno Guimarães,1031,5,2.8,19,39,13,80
Bryan Mbeumo,2905,5.5,1.9,23,25,5,124
Bukayo Saka,2978,6.5,28.8,31,23,6,185
Callum Hudson-Odoi,958,5.5,0.2,5,6,0,49
Christian Eriksen,938,5.5,1.8,10,10,4,47
Christian Nørgaard,3054,5,0.6,85,80,45,146
Christian Pulisic,1282,8,0.7,11,9,2,79
Conor Gallagher,2843,5.5,11.2,43,44,17,157
Curtis Jones,849,5,0.1,10,9,2,42
Daniel James,2489,6,0.5,19,21,7,98
Daniel Podence,1475,5.5,0.2,6,9,1,71
Declan Rice,3178,5,4.3,95,53,37,132
Dejan Kulusevski,1259,6,10.9,26,16,9,108
Dele Alli,985,6.5,1,27,17,9,44
Demarai Gray,2336,5.5,5.2,16,19,3,109
Diogo Jota,2357,7.5,17.3,17,21,3,178
Donny van de Beek,550,6,0.3,11,12,5,36
Douglas Luiz,2715,4.5,1.9,61,43,25,114
Dwight McNeil,3104,6,0.2,67,36,21,105
Eberechi Eze,599,6,0.1,8,5,1,32
Edo Kayembe,795,5,0,14,15,6,30
Emiliano Buendía,1887,6.5,1.3,18,31,8,115
Emile Smith Rowe,1909,5.5,10,20,16,4,129
Enock Mwepu,990,6,0.1,16,14,4,62
Fabian Delph,660,4.5,1.3,19,13,7,25
Fabinho,2311,5.5,0.9,56,37,22,119
Fernandinho,956,5,0.3,14,16,4,49
Francisco Trincão,1328,6,0.3,15,15,3,69
Frank Onyeka,1040,5,0.1,15,16,4,39
Fred,2026,5,0.8,49,38,21,114
Gabriel Martinelli,1855,5.5,3.1,21,19,5,115
Granit Xhaka,2327,5,0.4,31,24,12,72
Hakim Ziyech,1311,7.5,0.8,20,11,4,83
Harry Winks,904,4.5,1,19,7,5,38
Harvey Barnes,2095,7,4.2,10,13,2,139
Ibrahima Diallo,1016,4.5,0.1,17,20,7,51
Ilkay Gündoğan,1851,7.5,2.6,27,11,6,130
Imrân Louza,1415,5.5,0,48,32,21,52
Isaac Hayden,1000,4.5,0.1,20,18,8,36
Ismaïla Sarr,1862,6,2.7,16,7,1,82
Jack Cork,1670,4.5,0.1,34,8,7,55
Jack Grealish,1910,8,7.1,16,15,1,87
Jack Harrison,2638,6,1.5,41,32,12,129
Jacob Murphy,1457,5,0.4,33,17,12,74
Jacob Ramsey,2465,4.5,4.9,38,41,16,125
Jadon Sancho,1894,9.5,2.1,24,13,2,93
Jakub Moder,1694,4.5,0.5,22,29,11,69
James Maddison,2454,7,16.3,20,24,5,186
James McArthur,1434,4.5,1.1,34,26,13,67
James Milner,844,5,0.1,22,23,9,47
James Ward-Prowse,3215,6.5,5.3,60,26,17,176
Jamie Shackleton,704,4.5,0.1,10,18,6,25
Jarrod Bowen,2987,6.5,15,38,26,10,216
Jeffrey Schlupp,1840,5.5,0.1,25,23,8,94
João Moutinho,2970,5,0.7,48,54,20,116
Joe Willock,2037,6,0.8,30,44,16,95
Jóhann Berg Guðmundsson,1097,5.5,0.1,17,9,5,38
John McGinn,3090,6,1.1,52,61,27,137
Jonjo Shelvey,1981,5.5,0.1,35,14,10,73
Jordan Henderson,2592,5,1.8,43,24,12,122
Jorginho,2271,6,3.9,60,46,29,135
Josh Brownhill,2952,4.5,3.6,79,41,28,120
Juraj Kucka,1917,5.5,0.1,46,47,22,76
Kai Havertz,1802,8.5,5.8,6,13,0,112
Kalvin Phillips,1594,5,0.9,34,42,17,56
Ken Sema,844,5.5,0,9,8,0,26
Kenny McLean,2707,5,0.1,55,24,13,82
Kevin De Bruyne,2196,12,18.6,14,14,2,198
Kieran Dowell,905,5.5,0.1,9,7,2,43
Kiernan Dewsbury-Hall,2101,4.5,1.6,27,25,11,81
Leander Dendoncker,1945,5,0.3,24,24,5,81
Leandro Trossard,2803,6.5,2.8,29,24,7,148
Leon Bailey,750,6.5,0.4,3,12,3,40
Lucas Moura,1763,6.5,1.3,22,14,4,91
Luis Díaz,957,8,8,4,10,2,66
Luka Milivojević,767,5.5,0,9,13,2,21
Lukas Rupp,759,4.5,0.2,17,8,4,27
Manuel Lanzini,1777,6,0.4,28,18,8,100
Marc Albrighton,1127,5.5,0.1,25,16,8,48
Marcus Rashford,1224,9.5,0.6,12,6,2,65
Mason Greenwood,1269,7.5,3.9,4,8,0,71
Mason Mount,2358,7.5,21.9,20,29,6,175
Mateo Kovačić,1552,5,1.7,20,40,15,91
Mateusz Klich,2071,5.5,0.3,31,26,10,71
Mathias Jensen,1590,5,0,33,28,14,68
Mathias Normann,1643,4.5,0.1,25,24,7,59
Maxwel Cornet,1764,6,0.8,11,11,1,105
Michael Olise,1127,5.5,0.2,12,15,1,74
Miguel Almirón,1706,5.5,0.2,25,33,9,68
Milot Rashica,2228,5.5,0.1,36,21,12,82
Mohamed Elneny,801,4.5,0.4,18,9,4,31
Mohamed Elyounoussi,2039,5.5,0.2,19,33,5,95
Mohamed Salah,2758,12.5,41,15,7,1,266
Moisés Caicedo,660,4.5,0.1,12,12,6,33
Moussa Sissoko,3220,4.5,2.3,44,40,19,104
N'Golo Kanté,1769,5,2.4,44,34,20,99
Naby Keïta,1169,5,0.2,20,28,11,76
Nampalys Mendy,1032,4.5,1.1,13,12,4,28
Nathan Redmond,1827,6,0.1,21,13,5,84
Nathan Tella,802,5,0,19,5,4,33
Nemanja Matić,1375,4.5,0.5,32,28,15,67
Nicolas Pépé,681,7.5,0.7,9,11,3,48
Nikola Vlašić,549,6,0,10,11,2,32
Oliver Skipp,1346,4.5,0.6,19,18,3,37
Oriol Romeu,2890,4.5,0.5,67,54,30,118
Pablo Fornals,2795,6,1.3,47,34,14,131
Pascal Groß,2033,6,0.3,16,20,2,90
Paul Pogba,1347,7.5,6.3,19,13,4,69
Phil Foden,2125,8,7.6,17,15,3,140
Philippe Coutinho,1327,7,10.6,8,11,1,84
Pierre-Emile Højbjerg,3196,5,2.6,70,49,30,139
Pierre Lees-Melou,2261,5,0.1,42,40,18,88
Raheem Sterling,2121,11,2.6,15,18,3,166
Raphinha,2916,6.5,11.6,43,25,9,154
Riyad Mahrez,1485,9,4,13,6,1,136
Rodri,2884,5.5,1.9,40,46,17,144
Rodrigo Bentancur,1360,5,0.1,18,15,5,57
Ruben Loftus-Cheek,1384,5.5,0.2,15,20,6,58
Rúben Neves,2659,5.5,0.9,55,43,24,119
Ryan Fraser,1459,5.5,0.3,16,4,1,79
Sadio Mané,2818,12,4.8,15,18,4,187
Saïd Benrahma,2162,6,10.7,12,23,4,142
Saman Ghoddos,524,5.5,0,7,8,2,32
Scott McTominay,2386,5.5,0.3,47,33,17,85
Sean Longstaff,1458,4.5,0.5,20,33,11,59
Sergi Canós,2077,5.5,1,33,22,9,90
Shandon Baptiste,898,5,0,21,4,4,39
Solly March,1733,5.5,0.1,31,22,12,73
Son Heung-min,3009,10,35.6,29,12,5,263
Steven Bergwijn,548,6,0.4,4,4,0,55
Stuart Armstrong,1465,6,0.2,14,15,3,60
Stuart Dallas,2920,5.5,2.7,78,47,31,111
Thiago Alcântara,1527,5.5,0.6,35,40,18,87
Thomas Partey,2027,5,0.2,33,41,16,87
Tom Cleverley,1611,5,0.1,27,27,9,57
Tomáš Souček,3061,6,3.4,55,41,21,135
Tyler Roberts,976,5,0.1,7,7,2,36
Vitaly Janelt,2295,5,0.2,44,35,17,107
Wilfred Ndidi,1617,5,0.8,45,47,26,67
Wilfried Zaha,2759,7,8.5,24,35,11,161
Will Hughes,1050,5,0.1,21,15,8,42
Yoane Wissa,1268,6,0.3,9,8,1,93
Youri Tielemans,2629,6.5,3.5,41,49,20,140
Yves Bissouma,2110,4.5,4.8,55,50,28,94
